OTHER,T_NAMEC,CC_NAMEC,JUDGE_NAMEC,TTAS_DEGREE,NHI_DEGREE
T040204,T04眼睛外傷,T0402眼睛穿刺傷,凝血異常-危及生命或肢體的出血,2,2
T050101,T05鼻子外傷,T0501鼻子鈍傷,中度呼吸窘迫(＜92%),2,2
T050102,T05鼻子外傷,T0501鼻子鈍傷,血行動力循環不足,2,2
T050106,T05鼻子外傷,T0501鼻子鈍傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T050110,T05鼻子外傷,T0501鼻子鈍傷,急性周邊中度疼痛(4-7),4,4
T050107,T05鼻子外傷,T0501鼻子鈍傷,急性周邊重度疼痛(8-10),3,3
T050111,T05鼻子外傷,T0501鼻子鈍傷,急性周邊輕度疼痛(＜4),5,5
T050112,T05鼻子外傷,T0501鼻子鈍傷,軟組織挫傷/血腫,5,5
T050103,T05鼻子外傷,T0501鼻子鈍傷,意識程度改變(GCS9-13),2,2
T050109,T05鼻子外傷,T0501鼻子鈍傷,腫脹變形疑似骨折,3,3
T050105,T05鼻子外傷,T0501鼻子鈍傷,輕度呼吸窘迫(92-94%),3,3
T050108,T05鼻子外傷,T0501鼻子鈍傷,凝血異常-中度或輕度的出血,3,3
T020313,T02頭部外傷,T0203頭部撕裂傷、擦傷,急性中樞中度疼痛(4-7),3,3
T020307,T02頭部外傷,T0203頭部撕裂傷、擦傷,急性中樞重度疼痛(8-10),2,2
T020316,T02頭部外傷,T0203頭部撕裂傷、擦傷,急性中樞輕度疼痛(＜4),4,4
T020301,T02頭部外傷,T0203頭部撕裂傷、擦傷,重度呼吸窘迫(＜90%),1,1
T020308,T02頭部外傷,T0203頭部撕裂傷、擦傷,高危險性受傷機轉,2,2
T020310,T02頭部外傷,T0203頭部撕裂傷、擦傷,無法控制的出血,2,2
T020303,T02頭部外傷,T0203頭部撕裂傷、擦傷,無意識(GCS3-8),1,1
T020306,T02頭部外傷,T0203頭部撕裂傷、擦傷,意識程度改變(GCS9-13),2,2
T020311,T02頭部外傷,T0203頭部撕裂傷、擦傷,輕度呼吸窘迫(92-94%),3,3
T020314,T02頭部外傷,T0203頭部撕裂傷、擦傷,凝血異常-中度或輕度的出血,3,3
T020309,T02頭部外傷,T0203頭部撕裂傷、擦傷,凝血異常-危及生命或肢體的出血,2,2
A070702,A07耳鼻喉系統,A0707喉嚨痛,休克,1,1
T020318,T02頭部外傷,T0203頭部撕裂傷、擦傷,擦傷,5,5
T030105,T03顏面部外傷,T0301顏面部鈍傷,中度呼吸窘迫(<92%),2,2
T030101,T03顏面部外傷,T0301顏面部鈍傷,心跳/呼吸停止,1,1
T030112,T03顏面部外傷,T0301顏面部鈍傷,輕度呼吸窘迫(92-94%),3,3
T030118,T03顏面部外傷,T0301顏面部鈍傷,急性周邊中度疼痛(4-7),4,4
T030103,T03顏面部外傷,T0301顏面部鈍傷,休克,1,1
T030106,T03顏面部外傷,T0301顏面部鈍傷,血行動力循環不足,2,2
T030114,T03顏面部外傷,T0301顏面部鈍傷,急性周邊重度疼痛(8-10),3,3
T030120,T03顏面部外傷,T0301顏面部鈍傷,急性周邊輕度疼痛(<4),5,5
T030115,T03顏面部外傷,T0301顏面部鈍傷,凝血異常-中度或輕度的出血,3,3
T030108,T03顏面部外傷,T0301顏面部鈍傷,高危險性受傷機轉,2,2
T030119,T03顏面部外傷,T0301顏面部鈍傷,表淺撕裂性/出血已停止,4,4
T030102,T03顏面部外傷,T0301顏面部鈍傷,重度呼吸窘迫(<90%),1,1
T030109,T03顏面部外傷,T0301顏面部鈍傷,凝血異常-危及生命或肢體的出血,2,2
T030121,T03顏面部外傷,T0301顏面部鈍傷,軟組織挫傷/血腫,5,5
T030111,T03顏面部外傷,T0301顏面部鈍傷,牙齒斷裂,2,2
T030104,T03顏面部外傷,T0301顏面部鈍傷,無意識(GCS3-8),1,1
T030107,T03顏面部外傷,T0301顏面部鈍傷,意識程度改變(GCS9-13),2,2
T030116,T03顏面部外傷,T0301顏面部鈍傷,腫脹變形疑似骨折/脫臼,3,3
T030113,T03顏面部外傷,T0301顏面部鈍傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T030117,T03顏面部外傷,T0301顏面部鈍傷,加壓後已止血,3,3
T030110,T03顏面部外傷,T0301顏面部鈍傷,無法控制的出血,2,2
T030205,T03顏面部外傷,T0302顏面部穿刺傷,中度呼吸窘迫(<92%),2,2
T030201,T03顏面部外傷,T0302顏面部穿刺傷,心跳/呼吸停止,1,1
T030203,T03顏面部外傷,T0302顏面部穿刺傷,休克,1,1
T030206,T03顏面部外傷,T0302顏面部穿刺傷,血行動力循環不足,2,2
T030213,T03顏面部外傷,T0302顏面部穿刺傷,急性周邊重度疼痛(8-10),3,3
T030208,T03顏面部外傷,T0302顏面部穿刺傷,顏面部穿刺傷,2,2
T030202,T03顏面部外傷,T0302顏面部穿刺傷,重度呼吸窘迫(<90%),1,1
T030204,T03顏面部外傷,T0302顏面部穿刺傷,無意識(GCS3-8),1,1
T030207,T03顏面部外傷,T0302顏面部穿刺傷,意識程度改變(GCS9-13),2,2
T030212,T03顏面部外傷,T0302顏面部穿刺傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T030211,T03顏面部外傷,T0302顏面部穿刺傷,輕度呼吸窘迫(92-94%),3,3
T030209,T03顏面部外傷,T0302顏面部穿刺傷,顏面部槍傷,2,2
T030210,T03顏面部外傷,T0302顏面部穿刺傷,凝血異常-危及生命或肢體的出血,2,2
T030304,T03顏面部外傷,T0303顏面部撕裂傷、擦傷,中度呼吸窘迫(<92%),2,2
T030315,T03顏面部外傷,T0303顏面部撕裂傷、擦傷,急性周邊中度疼痛(4-7),4,4
T010108,T01重大外傷,T0101多重鈍傷/穿刺傷,急性中樞重度疼痛(8-10),2,2
T010119,T01重大外傷,T0101多重鈍傷/穿刺傷,急性中樞輕度疼痛(＜4),4,4
T010102,T01重大外傷,T0101多重鈍傷/穿刺傷,重度呼吸窘迫(＜90%),1,1
T010113,T01重大外傷,T0101多重鈍傷/穿刺傷,神經受損或肢體血管循環不佳徵象,2,2
T010118,T01重大外傷,T0101多重鈍傷/穿刺傷,脊椎被長時間固定,3,3
T010109,T01重大外傷,T0101多重鈍傷/穿刺傷,高危險性受傷機轉,2,2
T010104,T01重大外傷,T0101多重鈍傷/穿刺傷,無意識(GCS3-8),1,1
T010107,T01重大外傷,T0101多重鈍傷/穿刺傷,意識程度改變(GCS9-13),2,2
T010111,T01重大外傷,T0101多重鈍傷/穿刺傷,槍傷(多重部位),2,2
T010114,T01重大外傷,T0101多重鈍傷/穿刺傷,輕度呼吸窘迫(92-94%),3,3
T010117,T01重大外傷,T0101多重鈍傷/穿刺傷,凝血異常-中度或輕度的出血,3,3
T020117,T02頭部外傷,T0201頭部鈍傷,脊椎被長時間固定,3,3
T010112,T01重大外傷,T0101多重鈍傷/穿刺傷,凝血異常-危及生命或肢體的出血,2,2
T010110,T01重大外傷,T0101多重鈍傷/穿刺傷,頭、頸、軀幹多重部位鈍傷/穿刺傷,2,2
T020105,T02頭部外傷,T0201頭部鈍傷,中度呼吸窘迫(＜92%),2,2
T020101,T02頭部外傷,T0201頭部鈍傷,心跳/呼吸停止,1,1
T020116,T02頭部外傷,T0201頭部鈍傷,外傷後有意識喪失或失憶之現象,3,3
T020119,T02頭部外傷,T0201頭部鈍傷,外傷後無意識喪失或失憶之現象,4,4
T020103,T02頭部外傷,T0201頭部鈍傷,休克,1,1
T020106,T02頭部外傷,T0201頭部鈍傷,血行動力循環不足,2,2
T020113,T02頭部外傷,T0201頭部鈍傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T020114,T02頭部外傷,T0201頭部鈍傷,急性中樞中度疼痛(4-7),3,3
T020108,T02頭部外傷,T0201頭部鈍傷,急性中樞重度疼痛(8-10),2,2
T020118,T02頭部外傷,T0201頭部鈍傷,急性中樞輕度疼痛(＜4),4,4
T020102,T02頭部外傷,T0201頭部鈍傷,重度呼吸窘迫(＜90%),1,1
T020109,T02頭部外傷,T0201頭部鈍傷,高危險性受傷機轉,2,2
T020120,T02頭部外傷,T0201頭部鈍傷,軟組織挫傷/血腫,5,5
T020104,T02頭部外傷,T0201頭部鈍傷,無意識(GCS3-8),1,1
T020107,T02頭部外傷,T0201頭部鈍傷,意識程度改變(GCS9-13),2,2
T020111,T02頭部外傷,T0201頭部鈍傷,新出現的神經功能缺損,2,2
T020112,T02頭部外傷,T0201頭部鈍傷,輕度呼吸窘迫(92-94%),3,3
T020115,T02頭部外傷,T0201頭部鈍傷,凝血異常-中度或輕度的出血,3,3
T020110,T02頭部外傷,T0201頭部鈍傷,凝血異常-危及生命或肢體的出血,2,2
T020205,T02頭部外傷,T0202頭部穿刺傷,中度呼吸窘迫(＜92%),2,2
T020201,T02頭部外傷,T0202頭部穿刺傷,心跳/呼吸停止,1,1
T020203,T02頭部外傷,T0202頭部穿刺傷,休克,1,1
T020206,T02頭部外傷,T0202頭部穿刺傷,血行動力循環不足,2,2
T020208,T02頭部外傷,T0202頭部穿刺傷,急性中樞重度疼痛(8-10),2,2
T020202,T02頭部外傷,T0202頭部穿刺傷,重度呼吸窘迫(＜90%),1,1
T020204,T02頭部外傷,T0202頭部穿刺傷,無意識(GCS3-8),1,1
T020207,T02頭部外傷,T0202頭部穿刺傷,意識程度改變(GCS9-13),2,2
T020212,T02頭部外傷,T0202頭部穿刺傷,新出現的神經功能缺損,2,2
T020211,T02頭部外傷,T0202頭部穿刺傷,凝血異常-危及生命或肢體的出血,2,2
T020210,T02頭部外傷,T0202頭部穿刺傷,頭部槍傷,2,2
T020304,T02頭部外傷,T0203頭部撕裂傷、擦傷,中度呼吸窘迫(＜92%),2,2
T020315,T02頭部外傷,T0203頭部撕裂傷、擦傷,加壓後已止血,3,3
T020302,T02頭部外傷,T0203頭部撕裂傷、擦傷,休克,1,1
T020305,T02頭部外傷,T0203頭部撕裂傷、擦傷,血行動力循環不足,2,2
T020312,T02頭部外傷,T0203頭部撕裂傷、擦傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T020317,T02頭部外傷,T0203頭部撕裂傷、擦傷,表淺撕裂性/出血已停止,4,4
A131305,A13一般和其他,A1313檢驗/檢查結果異常,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A131303,A13一般和其他,A1313檢驗/檢查結果異常,意識程度改變(GCS9-13),2,2
A131307,A13一般和其他,A1313檢驗/檢查結果異常,輕度呼吸窘迫(92-94%),3,3
A131310,A13一般和其他,A1313檢驗/檢查結果異常,凝血異常-中度或輕度的出血,3,3
A131306,A13一般和其他,A1313檢驗/檢查結果異常,凝血異常-危及生命或肢體的出血,2,2
A131313,A13一般和其他,A1313檢驗/檢查結果異常,檢驗數值/檢查結果異常，但無立即危險，生命徵象正常，無發燒，無疼痛不適,4,4
A131401,A13一般和其他,A1314手術後併發症,中度呼吸窘迫(＜92%),2,2
A131402,A13一般和其他,A1314手術後併發症,血行動力循環不足,2,2
A131409,A13一般和其他,A1314手術後併發症,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A131418,A13一般和其他,A1314手術後併發症,例行檢查，生命徵象正常，無發燒，無疼痛不適,5,5
A131411,A13一般和其他,A1314手術後併發症,急性中樞中度疼痛(4-7),3,3
A131406,A13一般和其他,A1314手術後併發症,急性中樞重度疼痛(8-10),2,2
A131415,A13一般和其他,A1314手術後併發症,急性中樞輕度疼痛(＜4),4,4
A131416,A13一般和其他,A1314手術後併發症,急性周邊中度疼痛(4-7),4,4
A131412,A13一般和其他,A1314手術後併發症,急性周邊重度疼痛(8-10),3,3
A131417,A13一般和其他,A1314手術後併發症,急性周邊輕度疼痛(＜4),5,5
A131404,A13一般和其他,A1314手術後併發症,發燒(免疫功能缺陷),2,2
A131410,A13一般和其他,A1314手術後併發症,發燒(看起來有病容),3,3
A131414,A13一般和其他,A1314手術後併發症,發燒(看起來無病容),4,4
A131405,A13一般和其他,A1314手術後併發症,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A131403,A13一般和其他,A1314手術後併發症,意識程度改變(GCS9-13),2,2
A131408,A13一般和其他,A1314手術後併發症,輕度呼吸窘迫(92-94%),3,3
A131413,A13一般和其他,A1314手術後併發症,凝血異常-中度或輕度的出血,3,3
A131407,A13一般和其他,A1314手術後併發症,凝血異常-危及生命或肢體的出血,2,2
A131504,A13一般和其他,A1315蒼白/貧血,中度呼吸窘迫(＜92%),2,2
A131502,A13一般和其他,A1315蒼白/貧血,休克,1,1
A131505,A13一般和其他,A1315蒼白/貧血,血行動力循環不足,2,2
A131511,A13一般和其他,A1315蒼白/貧血,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A131503,A13一般和其他,A1315蒼白/貧血,無意識(GCS3-8),1,1
A131507,A13一般和其他,A1315蒼白/貧血,發燒(免疫功能缺陷),2,2
A131512,A13一般和其他,A1315蒼白/貧血,發燒(看起來有病容),3,3
A131514,A13一般和其他,A1315蒼白/貧血,發燒(看起來無病容),4,4
A131508,A13一般和其他,A1315蒼白/貧血,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A131506,A13一般和其他,A1315蒼白/貧血,意識程度改變(GCS9-13),2,2
A131515,A13一般和其他,A1315蒼白/貧血,蒼白/貧血，生命徵象正常，無發燒，無疼痛不適,4,4
A131510,A13一般和其他,A1315蒼白/貧血,輕度呼吸窘迫(92-94%),3,3
A131513,A13一般和其他,A1315蒼白/貧血,凝血異常-中度或輕度的出血,3,3
A131509,A13一般和其他,A1315蒼白/貧血,凝血異常-危及生命或肢體的出血,2,2
T010105,T01重大外傷,T0101多重鈍傷/穿刺傷,中度呼吸窘迫(＜92%),2,2
T010101,T01重大外傷,T0101多重鈍傷/穿刺傷,心跳/呼吸停止,1,1
T010103,T01重大外傷,T0101多重鈍傷/穿刺傷,休克,1,1
T010106,T01重大外傷,T0101多重鈍傷/穿刺傷,血行動力循環不足,2,2
T010115,T01重大外傷,T0101多重鈍傷/穿刺傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T010116,T01重大外傷,T0101多重鈍傷/穿刺傷,急性中樞中度疼痛(4-7),3,3
A130608,A13一般和其他,A1306換藥,單純換藥，生命徵象正常，無發燒，無疼痛不適,5,5
A130603,A13一般和其他,A1306換藥,發燒(看起來有病容),3,3
A130605,A13一般和其他,A1306換藥,發燒(看起來無病容),4,4
A130601,A13一般和其他,A1306換藥,輕度呼吸窘迫(92-94%),3,3
A130702,A13一般和其他,A1307拆線,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130705,A13一般和其他,A1307拆線,急性周邊中度疼痛(4-7),4,4
A130703,A13一般和其他,A1307拆線,急性周邊重度疼痛(8-10),3,3
A130707,A13一般和其他,A1307拆線,急性周邊輕度疼痛(＜4),5,5
A130708,A13一般和其他,A1307拆線,單純拆線，生命徵象正常，無發燒，無疼痛不適,5,5
A130704,A13一般和其他,A1307拆線,發燒(看起來有病容),3,3
A130706,A13一般和其他,A1307拆線,發燒(看起來無病容),4,4
A130701,A13一般和其他,A1307拆線,輕度呼吸窘迫(92-94%),3,3
A130801,A13一般和其他,A1308影像檢查,影像檢查，生命徵象正常，無發燒，無疼痛不適,5,5
P090402,P09皮膚系統,P0904發紺,休克,1,1
A130904,A13一般和其他,A1309醫療裝置問題,中度呼吸窘迫(＜92%),2,2
A130902,A13一般和其他,A1309醫療裝置問題,休克,1,1
A130905,A13一般和其他,A1309醫療裝置問題,血行動力循環不足,2,2
A130911,A13一般和其他,A1309醫療裝置問題,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130913,A13一般和其他,A1309醫療裝置問題,急性中樞中度疼痛(4-7),3,3
A130909,A13一般和其他,A1309醫療裝置問題,急性中樞重度疼痛(8-10),2,2
A130916,A13一般和其他,A1309醫療裝置問題,急性中樞輕度疼痛(＜4),4,4
A130917,A13一般和其他,A1309醫療裝置問題,急性周邊中度疼痛(4-7),4,4
A130914,A13一般和其他,A1309醫療裝置問題,急性周邊重度疼痛(8-10),3,3
A130901,A13一般和其他,A1309醫療裝置問題,重度呼吸窘迫(＜90%),1,1
A130903,A13一般和其他,A1309醫療裝置問題,無意識(GCS3-8),1,1
A130907,A13一般和其他,A1309醫療裝置問題,發燒(免疫功能缺陷),2,2
A130912,A13一般和其他,A1309醫療裝置問題,發燒(看起來有病容),3,3
A130915,A13一般和其他,A1309醫療裝置問題,發燒(看起來無病容),4,4
A130908,A13一般和其他,A1309醫療裝置問題,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A130906,A13一般和其他,A1309醫療裝置問題,意識程度改變(GCS9-13),2,2
A130910,A13一般和其他,A1309醫療裝置問題,輕度呼吸窘迫(92-94%),3,3
A130918,A13一般和其他,A1309醫療裝置問題,醫療裝置問題(無其他症狀或窘迫徵象)，生命徵象正常，無發燒，無疼痛不適,4,4
A131001,A13一般和其他,A1310要求開立診斷書,要求開立診斷書，生命徵象正常，無發燒，無疼痛不適,5,5
A131101,A13一般和其他,A1311要求開藥,要求開藥，生命徵象正常，無發燒，無疼痛不適,5,5
A131203,A13一般和其他,A1312移除戒指,急性周邊中度疼痛(4-7),4,4
A131202,A13一般和其他,A1312移除戒指,急性周邊重度疼痛(8-10),3,3
A131204,A13一般和其他,A1312移除戒指,急性周邊輕度疼痛(＜4),5,5
A131201,A13一般和其他,A1312移除戒指,神經受損或肢體血管循環不佳徵象,2,2
A131205,A13一般和其他,A1312移除戒指,移除戒指，生命徵象正常，無發燒，無疼痛不適,5,5
A131301,A13一般和其他,A1313檢驗/檢查結果異常,中度呼吸窘迫(＜92%),2,2
A131311,A13一般和其他,A1313檢驗/檢查結果異常,檢驗出現危險數值,生命徵象正常,3,3
A131302,A13一般和其他,A1313檢驗/檢查結果異常,血行動力循環不足,2,2
A131308,A13一般和其他,A1313檢驗/檢查結果異常,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A131304,A13一般和其他,A1313檢驗/檢查結果異常,發燒(免疫功能缺陷),2,2
A131309,A13一般和其他,A1313檢驗/檢查結果異常,發燒(看起來有病容),3,3
A131312,A13一般和其他,A1313檢驗/檢查結果異常,發燒(看起來無病容),4,4
A130309,A13一般和其他,A1303高血糖,>324mg/dl，伴隨任一症狀(呼吸困難、脫水、虛弱),2,2
A130304,A13一般和其他,A1303高血糖,中度呼吸窘迫(＜92%),2,2
A130302,A13一般和其他,A1303高血糖,休克,1,1
A130305,A13一般和其他,A1303高血糖,血行動力循環不足,2,2
A130311,A13一般和其他,A1303高血糖,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130301,A13一般和其他,A1303高血糖,重度呼吸窘迫(＜90%),1,1
A130303,A13一般和其他,A1303高血糖,無意識(GCS3-8),1,1
A130307,A13一般和其他,A1303高血糖,發燒(免疫功能缺陷),2,2
A130312,A13一般和其他,A1303高血糖,發燒(看起來有病容),3,3
A130308,A13一般和其他,A1303高血糖,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A130306,A13一般和其他,A1303高血糖,意識程度改變(GCS9-13),2,2
A130310,A13一般和其他,A1303高血糖,輕度呼吸窘迫(92-94%),3,3
A130409,A13一般和其他,A1304低血糖,＜60mg/dl，伴隨任一症狀(混亂、冒汗、虛弱、顫抖),2,2
A130413,A13一般和其他,A1304低血糖,＜60mg/dl，無症狀,3,3
A130404,A13一般和其他,A1304低血糖,中度呼吸窘迫(＜92%),2,2
A130402,A13一般和其他,A1304低血糖,休克,1,1
A130405,A13一般和其他,A1304低血糖,血行動力循環不足,2,2
A130411,A13一般和其他,A1304低血糖,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130401,A13一般和其他,A1304低血糖,重度呼吸窘迫(＜90%),1,1
A130403,A13一般和其他,A1304低血糖,無意識(GCS3-8),1,1
A130407,A13一般和其他,A1304低血糖,發燒(免疫功能缺陷),2,2
A130412,A13一般和其他,A1304低血糖,發燒(看起來有病容),3,3
A130408,A13一般和其他,A1304低血糖,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A130406,A13一般和其他,A1304低血糖,意識程度改變(GCS9-13),2,2
A130410,A13一般和其他,A1304低血糖,輕度呼吸窘迫(92-94%),3,3
A130505,A13一般和其他,A1305轉診,中度呼吸窘迫(＜92%),2,2
A130502,A13一般和其他,A1305轉診,休克,1,1
A130506,A13一般和其他,A1305轉診,血行動力循環不足,2,2
A130512,A13一般和其他,A1305轉診,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130514,A13一般和其他,A1305轉診,急性中樞中度疼痛(4-7),3,3
A130510,A13一般和其他,A1305轉診,急性中樞重度疼痛(8-10),2,2
A130517,A13一般和其他,A1305轉診,急性中樞輕度疼痛(＜4),4,4
